"Book Title","ISBN","Author","Language","Pages","Publication","Publish Date","Genres","Book URL"
"The Amber Spyglass (His Dark Materials, #3)","9780440238157","Philip Pullman","English","467","Laurel Leaf","September 9th 2003","['Fantasy', 'Young Adult', 'Fiction']","https://www.goodreads.com/book/show/18122.The_Amber_Spyglass"
"The Blind Assassin","9781860498800","Margaret Atwood","English","637","Virago Press Ltd","September 3rd 2001","['Fiction', 'Historical', 'Historical Fiction', 'Mystery', 'Cultural', 'Canada']","https://www.goodreads.com/book/show/78433.The_Blind_Assassin"
"World Without End (Kingsbridge, #2)","9780525950073","Ken Follett","English","1014","Dutton","October 4th 2007","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Historical', 'Medieval', 'European Literature', 'British Literature', 'Audiobook', 'Romance', 'Novels', 'Fantasy', 'Adult']","https://www.goodreads.com/book/show/5064.World_Without_End"
"A Heartbreaking Work of Staggering Genius","9780375725784","Dave Eggers","English","485","Vintage","February 13th 2001","['Fiction']","https://www.goodreads.com/book/show/4953.A_Heartbreaking_Work_of_Staggering_Genius"
"The Shack","9780964729230","William Paul Young","English","252","Windblown Media","July 1st 2007","['Fiction', 'Christian Fiction', 'Religion', 'Spirituality']","https://www.goodreads.com/book/show/1812457.The_Shack"
"The History of Love","9780393328622","Nicole Krauss","English","255","Norton","May 17th 2006","['Fiction', 'Historical', 'Historical Fiction', 'Romance', 'Novels']","https://www.goodreads.com/book/show/3867.The_History_of_Love"
"The Omnivore's Dilemma: A Natural History of Four Meals","9781594200823","Michael Pollan","English","451","The Penguin Press","2006","['Nonfiction', 'Food and Drink', 'Food', 'Science', 'Health', 'History', 'Health', 'Nutrition']","https://www.goodreads.com/book/show/3109.The_Omnivore_s_Dilemma"
"Sarah's Key","9780312370831","Tatiana de Rosnay","English","294","St. Martin's Press","June 12th 2007","['Historical', 'Historical Fiction', 'Fiction', 'World War II', 'Holocaust', 'Historical', 'War', 'World War II', 'Cultural', 'France', 'War', 'Book Club', 'Adult', 'Adult Fiction']","https://www.goodreads.com/book/show/556602.Sarah_s_Key"
"Seabiscuit: An American Legend","9780345465085","Laura Hillenbrand","English","457","Ballantine Books","July 1st 2003","['Nonfiction', 'History', 'Biography', 'Sports and Games', 'Sports', 'Animals', 'Animals', 'Horses']","https://www.goodreads.com/book/show/110737.Seabiscuit"
"Cutting for Stone","9780375414497","Abraham Verghese","English","541","Knopf","February 3rd 2009","['Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'Africa', 'Book Club', 'Eastern Africa', 'Ethiopia', 'Health', 'Medicine']","https://www.goodreads.com/book/show/3591262-cutting-for-stone"
"The Pact","9780061150142","Jodi Picoult","English","512","Avon","August 29th 2006","['Fiction', 'Romance', 'Contemporary', 'Womens Fiction', 'Chick Lit']","https://www.goodreads.com/book/show/10916.The_Pact"
"Shantaram","9781920769208","Gregory David Roberts","English","936","Scribe","2004","['Fiction', 'Cultural', 'India', 'Travel', 'Adventure']","https://www.goodreads.com/book/show/33600.Shantaram"
"Empire Falls","9780375726408","Richard Russo","English","483","Vintage","April 12th 2002","['Fiction', 'Contemporary']","https://www.goodreads.com/book/show/187020.Empire_Falls"
"House of Leaves","9780385603102","Mark Z. Danielewski","English","705","Random House","March 7th 2000","['Horror', 'Fiction', 'Fantasy', 'Mystery']","https://www.goodreads.com/book/show/24800.House_of_Leaves"
"The Story of Edgar Sawtelle","9780061374227","David Wroblewski","English","566","Ecco","June 1st 2008","['Fiction', 'Animals', 'Dogs', 'Animals', 'Adult Fiction']","https://www.goodreads.com/book/show/2731276-the-story-of-edgar-sawtelle"
"A Great and Terrible Beauty (Gemma Doyle, #1)","9780689875342","Libba Bray","English","403","Simon and Schuster","December 9th 2003","['Fantasy', 'Young Adult', 'Historical', 'Historical', 'Historical Fiction', 'Fantasy', 'Paranormal', 'Romance']","https://www.goodreads.com/book/show/3682.A_Great_and_Terrible_Beauty"
