"Book Title","ISBN","Author","Language","Pages","Publication","Publish Date","Genres","Book URL"
"The Song of Achilles","9781408816035","Madeline Miller","English","352","Bloomsbury Publishing","September 20th 2011","['Historical', 'Historical Fiction', 'Lgbt', 'Fantasy', 'Fantasy', 'Mythology', 'Fiction', 'Romance', 'Historical']","https://www.goodreads.com/book/show/11250317-the-song-of-achilles"
"The Snow Child","9780316175678","Eowyn Ivey","English","386","Reagan Arthur Books","February 1st 2012","['Fantasy', 'Fiction', 'Historical', 'Fantasy', 'Fairy Tales']","https://www.goodreads.com/book/show/11250053-the-snow-child"
"Obsidian (Lux, #1)","9781620610077","Jennifer L. Armentrout","English","335","Entangled Teen","May 8th 2012","['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Fantasy', 'Science Fiction', 'Aliens', 'Science Fiction', 'Romance', 'Paranormal Romance']","https://www.goodreads.com/book/show/12578077-obsidian"
"The Invention of Wings","9780670024780","Sue Monk Kidd","English","384","Viking Books","January 7th 2014","['Historical', 'Historical Fiction', 'Fiction', 'Book Club', 'Adult Fiction', 'Audiobook', 'Adult', 'Cultural', 'African American', 'Novels', 'American', 'Southern', 'Literary Fiction']","https://www.goodreads.com/book/show/18079776-the-invention-of-wings"
"Passion (Fallen, #3)","9780385739160","Lauren Kate","English","420","Delacorte Press","June 14th 2011","['Young Adult', 'Paranormal', 'Angels', 'Fantasy', 'Fantasy', 'Paranormal', 'Romance']","https://www.goodreads.com/book/show/9369720-passion"
"Inheritance (The Inheritance Cycle, #4)","9780375856112","Christopher Paolini","English","849","Alfred A. Knopf","November 8th 2011","['Fantasy', 'Young Adult', 'Fantasy', 'Dragons', 'Fiction']","https://www.goodreads.com/book/show/7664041-inheritance"
"The Silkworm (Cormoran Strike, #2)","9780316206877","Robert Galbraith","English","455","Mulholland Books","June 24th 2014","['Mystery', 'Fiction', 'Mystery', 'Crime', 'Thriller']","https://www.goodreads.com/book/show/18214414-the-silkworm"
"Burial Rites","9780316243919","Hannah Kent","English","336","Little, Brown and Company","September 10th 2013","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Mystery', 'Mystery', 'Crime']","https://www.goodreads.com/book/show/17333319-burial-rites"
"The Golem and the Jinni (The Golem and the Jinni, #1)","9780062110831","Helene Wecker","English","486","Harper","April 23rd 2013","['Fantasy', 'Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Magical Realism']","https://www.goodreads.com/book/show/15819028-the-golem-and-the-jinni"
"Big Little Lies","9780399167065","Liane Moriarty","English","460","Berkley","July 29th 2014","['Mystery', 'Womens Fiction', 'Chick Lit', 'Contemporary', 'Fiction', 'Adult']","https://www.goodreads.com/book/show/19486412-big-little-lies"
"The Short Second Life of Bree Tanner (Twilight, #3.5)","9780316125581","Stephenie Meyer","English","178","Little, Brown and Company","June 5th 2010","['Young Adult', 'Fantasy', 'Paranormal', 'Vampires', 'Fantasy', 'Paranormal', 'Fiction']","https://www.goodreads.com/book/show/7937462-the-short-second-life-of-bree-tanner"
"A Tale for the Time Being","9780670026630","Ruth Ozeki","English","422","Viking","March 12th 2013","['Fiction', 'Cultural', 'Japan', 'Contemporary', 'Historical', 'Historical Fiction', 'Magical Realism']","https://www.goodreads.com/book/show/15811545-a-tale-for-the-time-being"
"The Reckoning (Darkest Powers, #3)","9781841497129","Kelley Armstrong","English","391","Orbit","April 6th 2010","['Young Adult', 'Fantasy', 'Paranormal', 'Fantasy', 'Fantasy', 'Urban Fantasy', 'Fantasy', 'Supernatural', 'Shapeshifters', 'Werewolves']","https://www.goodreads.com/book/show/6468666-the-reckoning"
"Free Four: Tobias Tells the Divergent Knife-Throwing Scene (Divergent, #1.5)","9780062237422","Veronica Roth","English","43","Katherine Tegen Books","April 23rd 2012","['Young Adult', 'Science Fiction', 'Dystopia', 'Short Stories', 'Novella']","https://www.goodreads.com/book/show/13615258-free-four"
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened","9781451666175","Allie Brosh","English","371","Touchstone","October 29th 2013","['Humor', 'Nonfiction', 'Sequential Art', 'Graphic Novels', 'Autobiography', 'Memoir', 'Sequential Art', 'Comics']","https://www.goodreads.com/book/show/17571564-hyperbole-and-a-half"
"The Assassin's Blade (Throne of Glass, #0.1-0.5)","9781408852590","Sarah J. Maas","English","448","Bloomsbury Childrens","March 4th 2014","['Fantasy', 'Young Adult', 'Romance']","https://www.goodreads.com/book/show/18243700-the-assassin-s-blade"
"The Paris Wife","9780345521309","Paula McLain","English","314","Ballantine Books","February 27th 2011","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Book Club', 'Cultural', 'France']","https://www.goodreads.com/book/show/8683812-the-paris-wife"
"Saga, Vol. 1 (Saga, #1)","9781607066019","Brian K. Vaughan","English","160","Image Comics","October 23rd 2012","['Sequential Art', 'Graphic Novels', 'Sequential Art', 'Comics', 'Fantasy', 'Science Fiction', 'Fiction']","https://www.goodreads.com/book/show/15704307-saga-vol-1"
"The Husband's Secret","9780399159343","Liane Moriarty","English","396","Berkley","July 30th 2013","['Mystery', 'Adult', 'Fiction', 'Audiobook', 'Adult Fiction', 'Contemporary']","https://www.goodreads.com/book/show/17802724-the-husband-s-secret"
"Is Everyone Hanging Out Without Me?","9780307886262","Mindy Kaling","English","222","Crown Archetype","November 1st 2011","['Nonfiction', 'Humor', 'Autobiography', 'Memoir', 'Biography']","https://www.goodreads.com/book/show/10335308-is-everyone-hanging-out-without-me"
"Between the World and Me","9780812993547","Ta-Nehisi Coates","English","152","Spiegel & Grau","July 14th 2015","['Nonfiction', 'Autobiography', 'Memoir', 'Race', 'Social Movements', 'Social Justice']","https://www.goodreads.com/book/show/25489625-between-the-world-and-me"
"Doctor Sleep (The Shining, #2)","9781476727653","Stephen King","English","531","Scribner","September 24th 2013","['Horror', 'Fiction', 'Thriller', 'Fantasy']","https://www.goodreads.com/book/show/16130549-doctor-sleep"
"The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared","9781843913726","Jonas Jonasson","English","396","Hesperus Press","July 12th 2012","['Fiction', 'Humor', 'Contemporary']","https://www.goodreads.com/book/show/13486632-the-hundred-year-old-man-who-climbed-out-of-the-window-and-disappeared"
"Thinking, Fast and Slow","9780374275631","Daniel Kahneman","English","418","Farrar, Straus and Giroux","October 25th 2011","['Psychology', 'Nonfiction', 'Science', 'Economics', 'Self Help', 'Business']","https://www.goodreads.com/book/show/11468377-thinking-fast-and-slow"
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)","9781619634466","Sarah J. Maas","English","624","Bloomsbury USA Childrens","May 3rd 2016","['Fantasy', 'Romance', 'Young Adult', 'New Adult']","https://www.goodreads.com/book/show/26073150-a-court-of-mist-and-fury"
"Fifty Shades Darker (Fifty Shades, #2)","9781612130583","E.L. James","English","532","The Writer's Coffee Shop Publishing House","September 16th 2011","['Romance', 'Fiction']","https://www.goodreads.com/book/show/11857408-fifty-shades-darker"
"Will Grayson, Will Grayson (Will Grayson, Will Grayson, #1)","9780525421580","John Green","English","310","Dutton Books","April 6th 2010","['Young Adult', 'Contemporary', 'Lgbt', 'Fiction']","https://www.goodreads.com/book/show/6567017-will-grayson-will-grayson"
"The Darkest Minds (The Darkest Minds, #1)","9781423157373","Alexandra Bracken","English","488","Disney Hyperion","December 18th 2012","['Young Adult', 'Science Fiction', 'Dystopia', 'Fantasy']","https://www.goodreads.com/book/show/10576365-the-darkest-minds"
"Abraham Lincoln: Vampire Hunter (Abraham Lincoln: Vampire Hunter, #1)","9780446563086","Seth Grahame-Smith","English","336","Grand Central Publishing","March 2nd 2010","['Fiction', 'Historical', 'Historical Fiction', 'Fantasy', 'Horror', 'Paranormal', 'Vampires', 'Fantasy', 'Paranormal', 'Historical']","https://www.goodreads.com/book/show/7108001-abraham-lincoln"
"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)","9781423160915","Rick Riordan","English","499","Disney - Hyperion Books","October 6th 2015","['Fantasy', 'Fantasy', 'Mythology', 'Young Adult']","https://www.goodreads.com/book/show/15724396-the-sword-of-summer"
"House Rules","9780743296434","Jodi Picoult","English","532","Atria Books","March 2nd 2010","['Mystery', 'Contemporary', 'Womens Fiction', 'Chick Lit', 'Adult Fiction']","https://www.goodreads.com/book/show/6614960-house-rules"
"A Monster Calls","9781406311525","Patrick Ness","English","226","Walker Books","September 27th 2011","['Fantasy', 'Young Adult', 'Fiction', 'Horror']","https://www.goodreads.com/book/show/8621462-a-monster-calls"
"The Scorch Trials (The Maze Runner, #2)","9780385738750","James Dashner","English","362","Delacorte Press","October 12th 2010","['Young Adult', 'Science Fiction', 'Dystopia', 'Science Fiction', 'Fiction']","https://www.goodreads.com/book/show/7631105-the-scorch-trials"
"Uprooted","9780804179034","Naomi Novik","English","435","Del Rey","May 19th 2015","['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Magic', 'Romance']","https://www.goodreads.com/book/show/22544764-uprooted"
"Hollow City (Miss Peregrineâs Peculiar Children, #2)","9781594746123","Ransom Riggs","English","400","Quirk Books","January 14th 2014","['Young Adult', 'Fiction', 'Fantasy', 'Fantasy', 'Paranormal']","https://www.goodreads.com/book/show/12396528-hollow-city"
"The Bone Clocks","9781400065677","David Mitchell","English","624","Random House","September 2nd 2014","['Fiction', 'Fantasy', 'Science Fiction']","https://www.goodreads.com/book/show/20819685-the-bone-clocks"
"The Invisible Game: The Mindset of a Winning Team","9781517457013","Zoltan Andrejkovics","English","190","CreateSpace Independent Publishing Platform","May 9th 2016","['Psychology', 'Games', 'Gaming', 'Nonfiction', 'Self Help', 'Sports and Games', 'Sports']","https://www.goodreads.com/book/show/28051004-the-invisible-game"
"Fifty Shades Freed (Fifty Shades, #3)","9780345803504","E.L. James","English","579","Vintage Books","April 17th 2012","['Adult Fiction', 'Erotica', 'Fiction', 'Erotica', 'Bdsm', 'Adult', 'Contemporary', 'Womens Fiction', 'Chick Lit', 'Romance', 'Contemporary Romance', 'Romance', 'Romance', 'Erotic Romance', 'New Adult']","https://www.goodreads.com/book/show/13536860-fifty-shades-freed"
"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics","9780670025817","Daniel James Brown","English","416","Viking","June 4th 2013","['Nonfiction', 'History', 'Sports and Games', 'Sports', 'Biography', 'Historical']","https://www.goodreads.com/book/show/16158542-the-boys-in-the-boat"
"Go Set a Watchman","9780062409850","Harper Lee","English","278","HarperCollins","July 14th 2015","['Fiction', 'Historical', 'Historical Fiction', 'Classics']","https://www.goodreads.com/book/show/24817626-go-set-a-watchman"
"Beautiful Disaster (Beautiful, #1)","-1","Jamie McGuire","English","319","Jamie McGuire","May 26th 2011","['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Romance', 'Contemporary Romance']","https://www.goodreads.com/book/show/11505797-beautiful-disaster"
"Just Kids","9780066211312","Patti Smith","English","304","Ecco","January 19th 2010","['Nonfiction', 'Autobiography', 'Memoir', 'Music', 'Biography', 'Art']","https://www.goodreads.com/book/show/341879.Just_Kids"
"The Weed That Strings the Hangman's Bag (Flavia de Luce, #2)","9780385342315","Alan Bradley","English","364","Delacorte Press","March 25th 2010","['Mystery', 'Fiction', 'Historical', 'Historical Fiction', 'Young Adult']","https://www.goodreads.com/book/show/6777616-the-weed-that-strings-the-hangman-s-bag"
"Burned (House of Night, #7)","9781905654819","P.C. Cast","English","325","Atom","April 27th 2011","['Young Adult', 'Fantasy', 'Paranormal']","https://www.goodreads.com/book/show/6917951-burned"
"The Girl With All the Gifts (The Girl With All the Gifts #1)","9780356500157","M.R. Carey","English","461","Orbit","June 19th 2014","['Horror', 'Fiction', 'Science Fiction', 'Horror', 'Zombies', 'Science Fiction', 'Dystopia']","https://www.goodreads.com/book/show/17235026-the-girl-with-all-the-gifts"
"The Serpent's Shadow (Kane Chronicles, #3)","9781423140573","Rick Riordan","English","406","Hyperion Books","May 1st 2012","['Fantasy', 'Fantasy', 'Mythology', 'Young Adult']","https://www.goodreads.com/book/show/12893742-the-serpent-s-shadow"
"Golden Son (Red Rising, #2)","9780345539823","Pierce Brown","English","430","Del Rey","January 6th 2015","['Science Fiction', 'Fantasy', 'Science Fiction', 'Dystopia', 'Young Adult', 'Fiction']","https://www.goodreads.com/book/show/18966819-golden-son"
"The Storied Life of A.J. Fikry","9781616203214","Gabrielle Zevin","English","260","Algonquin Books","April 1st 2014","['Fiction', 'Contemporary', 'Writing', 'Books About Books', 'Adult', 'Adult Fiction']","https://www.goodreads.com/book/show/18293427-the-storied-life-of-a-j-fikry"
"Horns","9780061147951","Joe Hill","English","370","William Morrow","March 1st 2010","['Horror', 'Fiction', 'Fantasy', 'Mystery', 'Thriller']","https://www.goodreads.com/book/show/6587879-horns"
"Tenth of December","9780812993806","George Saunders","English","251","Random House","January 8th 2013","['Short Stories', 'Fiction', 'Contemporary', 'Literary Fiction']","https://www.goodreads.com/book/show/13641208-tenth-of-december"
"Orphan Train","9780061950728","Christina Baker Kline","English","278","William Morrow Paperbacks","April 2nd 2013","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Book Club']","https://www.goodreads.com/book/show/15818107-orphan-train"
"Where She Went (If I Stay, #2)","9780525422945","Gayle Forman","English","264","Dutton Juvenile","April 5th 2011","['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction']","https://www.goodreads.com/book/show/8492825-where-she-went"
"The Sky Is Everywhere","9780803734951","Jandy Nelson","English","288","Dial Books","March 9th 2010","['Young Adult', 'Contemporary', 'Romance', 'Fiction']","https://www.goodreads.com/book/show/6604794-the-sky-is-everywhere"
"Wool Omnibus (Silo, #1)","-1","Hugh Howey","English","509","Broad Reach Publishing","January 25th 2012","['Science Fiction', 'Dystopia', 'Apocalyptic', 'Post Apocalyptic', 'Science Fiction', 'Fantasy']","https://www.goodreads.com/book/show/13453029-wool-omnibus"
"The Death Cure (The Maze Runner, #3)","9780385738774","James Dashner","English","325","Delacorte Books for Young Readers","October 11th 2011","['Young Adult', 'Science Fiction', 'Dystopia', 'Science Fiction']","https://www.goodreads.com/book/show/7864437-the-death-cure"
"The Sisters Brothers","9780062041265","Patrick deWitt","English","328","Ecco","April 26th 2011","['Fiction', 'Historical', 'Historical Fiction', 'Westerns', 'Historical', 'Cultural', 'Canada']","https://www.goodreads.com/book/show/9850443-the-sisters-brothers"
"We Are All Completely Beside Ourselves","9780399162091","Karen Joy Fowler","English","310","G.P. Putnam's Sons","May 30th 2013","['Fiction', 'Contemporary', 'Literary Fiction']","https://www.goodreads.com/book/show/16176440-we-are-all-completely-beside-ourselves"
"The Dovekeepers","9781451617474","Alice Hoffman","English","504","Simon and Schuster","October 4th 2011","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Magical Realism']","https://www.goodreads.com/book/show/10950924-the-dovekeepers"
"Crossed (Matched, #2)","9780142421710","Ally Condie","English","367","Speak","March 12th 2013","['Young Adult', 'Science Fiction', 'Dystopia', 'Romance']","https://www.goodreads.com/book/show/15812814-crossed"
"The Hare With Amber Eyes: A Family's Century of Art and Loss","9780374105976","Edmund de Waal","English","368","Farrar, Straus and Giroux","August 31st 2010","['Nonfiction', 'History', 'Biography', 'Art', 'Autobiography', 'Memoir']","https://www.goodreads.com/book/show/7821828-the-hare-with-amber-eyes"
"The Marriage Plot","9780374203054","Jeffrey Eugenides","English","406","Farrar Straus Giroux","October 11th 2011","['Fiction', 'Literary Fiction', 'Romance', 'Contemporary', 'Novels']","https://www.goodreads.com/book/show/10964693-the-marriage-plot"
"The Round House","9780062065247","Louise Erdrich","English","323","HarperCollins","October 2nd 2012","['Fiction', 'Mystery', 'Historical', 'Historical Fiction', 'Young Adult', 'Coming Of Age']","https://www.goodreads.com/book/show/13602426-the-round-house"
"I Am Number Four (Lorien Legacies, #1)","9780061969553","Pittacus Lore","English","440","HarperCollins","August 3rd 2010","['Young Adult', 'Fantasy', 'Science Fiction', 'Science Fiction', 'Aliens', 'Fiction', 'Romance', 'Fantasy', 'Paranormal', 'Adventure', 'Young Adult', 'Teen', 'Action']","https://www.goodreads.com/book/show/7747374-i-am-number-four"
"Tell the Wolves I'm Home","9780679644194","Carol Rifka Brunt","English","360","Random House","June 19th 2012","['Fiction', 'Young Adult', 'Historical', 'Historical Fiction', 'Contemporary', 'Young Adult', 'Coming Of Age', 'Lgbt']","https://www.goodreads.com/book/show/12875258-tell-the-wolves-i-m-home"
"The Distant Hours","9781439152782","Kate Morton","English","562","Atria","November 9th 2010","['Historical', 'Historical Fiction', 'Fiction', 'Mystery', 'Historical', 'Gothic']","https://www.goodreads.com/book/show/6746018-the-distant-hours"
"Requiem (Delirium, #3)","9780062014535","Lauren Oliver","English","391","HarperCollins Children's Books","March 5th 2013","['Young Adult', 'Science Fiction', 'Dystopia', 'Romance']","https://www.goodreads.com/book/show/9593913-requiem"
"The Indigo Spell (Bloodlines, #3)","9781595143198","Richelle Mead","English","401","Razorbill / Penguin Group","February 12th 2013","['Young Adult', 'Paranormal', 'Vampires', 'Fantasy', 'Fantasy', 'Paranormal', 'Romance']","https://www.goodreads.com/book/show/8709526-the-indigo-spell"
"Night Film","9780812979787","Marisha Pessl","English","640","Random House Trade Paperbacks","July 1st 2014","['Mystery', 'Fiction', 'Thriller', 'Horror', 'Thriller', 'Mystery Thriller', 'Adult']","https://www.goodreads.com/book/show/18770398-night-film"
"MaddAddam (MaddAddam, #3)","9780385528788","Margaret Atwood","English","394","Nan A. Talese","September 3rd 2013","['Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Apocalyptic', 'Post Apocalyptic', 'Fantasy', 'Cultural', 'Canada']","https://www.goodreads.com/book/show/17262203-maddaddam"
"Beautiful Ruins","9780061928123","Jess Walter","English","337","Harper","June 12th 2012","['Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'Italy', 'Romance']","https://www.goodreads.com/book/show/11447921-beautiful-ruins"
"Bitterblue (Graceling Realm, #3)","9780803734739","Kristin Cashore","English","576","Dial","May 1st 2012","['Fantasy', 'Young Adult', 'Romance', 'Fiction']","https://www.goodreads.com/book/show/12680907-bitterblue"
"Carry On","9781250049551","Rainbow Rowell","English","522","St. Martin's Griffin","October 6th 2015","['Young Adult', 'Fantasy', 'Romance', 'Lgbt', 'Fiction', 'Fantasy', 'Magic', 'Paranormal', 'Vampires', 'Contemporary', 'Young Adult', 'Young Adult Fantasy', 'Fantasy', 'Paranormal']","https://www.goodreads.com/book/show/23734628-carry-on"
"Starcrossed (Starcrossed, #1)","9780062011992","Josephine Angelini","English","487","HarperTeen","May 31st 2011","['Fantasy', 'Young Adult', 'Did Not Finish', 'Young Adult', 'Young Adult Paranormal', 'Romance']","https://www.goodreads.com/book/show/9462795-starcrossed"
"Angelfall (Penryn & the End of Days, #1)","-1","Susan Ee","English","288","Skyscape","August 28th 2012","['Fantasy', 'Young Adult', 'Paranormal', 'Angels', 'Science Fiction', 'Dystopia', 'Fantasy', 'Paranormal']","https://www.goodreads.com/book/show/15863832-angelfall"
"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back","9780849946158","Todd Burpo","English","162","Thomas Nelson","2010","['Religion', 'Faith', 'Religion', 'Christianity', 'Autobiography', 'Memoir', 'Nonfiction']","https://www.goodreads.com/book/show/7933292-heaven-is-for-real"
"Left Neglected","9781439164631","Lisa Genova","English","324","Gallery Books","January 4th 2011","['Contemporary', 'Fiction', 'Medical', 'Adult Fiction']","https://www.goodreads.com/book/show/8492768-left-neglected"
"Steelheart (The Reckoners, #1)","9780385743563","Brandon Sanderson","English","386","Delacorte Press","September 24th 2013","['Fantasy', 'Young Adult', 'Science Fiction']","https://www.goodreads.com/book/show/17182126-steelheart"
"The Black Prism (Lightbringer, #1)","9780316075558","Brent Weeks","English","629","Orbit","August 25th 2010","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy', 'Fantasy', 'Magic']","https://www.goodreads.com/book/show/7165300-the-black-prism"
"At Home: A Short History of Private Life","9780767919388","Bill Bryson","English","497","Doubleday","October 5th 2010","['Nonfiction', 'History', 'Humor', 'Audiobook']","https://www.goodreads.com/book/show/7507825-at-home"
