ID,SIM1,SIM2,SIM3,SIM4,SIM5,SIM6,SIM7,SIM8,SIM9,SIM10
100222,302470,400860,202109,300008,101148,200379,205156,100730,300441,304458
100223,201300,203304,100773,200155,106165,100011,100833,203400,201050,101174
100224,100001,203946,200002,200268,100010,200252,200920,302832,300961,200111
100225,106465,103735,102381,201910,200586,201075,204287,301812,102967,202570
100226,100151,100350,100318,100359,100396,101273,100578,100311,201222,100290
100227,200637,200216,100730,300714,202745,302369,300961,101399,306073,200174
100228,202536,102108,100775,303003,100528,102257,300594,100526,203772,201930
100229,200228,203792,101426,300209,200325,100527,200154,201140,205452,203910
100230,102129,200372,203172,106342,300008,105317,301766,100154,105114,104455
100231,100775,103981,306193,300919,203847,100768,200164,103791,200917,302101
100232,100838,102536,304856,201400,101167,106562,200005,205319,105733,200118
100233,103009,300441,302470,100897,204860,101148,101210,301059,300403,200022
100234,106328,102967,200408,100007,201300,200469,200705,100079,101777,106081
100235,104452,102570,303311,100137,105810,203650,202355,104438,304552,400020
100236,100680,302602,201031,202374,100366,300786,102475,200860,100843,100736
100237,300549,306126,103793,100777,100200,305297,106062,304522,402790,300901
100238,100198,100154,200265,102637,100206,204158,100215,201092,205307,202065
100239,201074,100023,204718,100179,204735,200664,200891,201075,204019,200356
100240,304378,104261,203088,105304,200530,201075,303999,201300,400823,202749
100241,105614,203820,305889,104941,202273,101777,205717,301966,104863,102391
100242,201055,304413,106609,101518,301951,102146,200587,301760,202770,104289
100243,101607,204395,106756,203385,105113,105167,102108,105539,304519,300157
100244,202682,100286,303239,302470,203091,100730,101247,300403,205261,203881
100245,302276,305729,105399,306041,402760,500691,101471,204907,105334,202896
100246,203372,100329,201414,106081,200408,100833,201577,203304,100009,201075
100247,300019,100273,300101,100197,100280,100256,100316,100216,100113,100293
100248,200531,306371,402042,103074,304547,204170,200598,204272,306148,201550
100249,203400,106328,203304,100380,200105,100200,100773,500228,100039,100016
100250,200843,203851,200647,204345,200754,106030,202056,100047,100375,102967
100251,201286,301496,203684,100017,205076,204672,100566,101908,104377,303096
100252,100111,100012,304251,300050,300205,101193,200373,203512,305729,300367
100253,200891,100189,100173,300097,300117,100504,300103,203091,203010,106668
100254,103793,100031,201143,101836,202430,301496,205076,106030,106784,301760
100255,200216,204287,200586,400840,103759,100079,200339,102094,202536,105715
100256,100280,100273,100197,106257,105097,100316,100216,100113,100293,100185
100257,202248,106694,205172,101619,202536,305716,202745,302682,105650,301887
100258,102665,202325,106103,102241,102244,106147,100934,302645,101149,300147
100259,102809,201505,200034,202908,100056,303941,200458,303334,100732,105167
100260,202101,201864,100023,201910,203512,101117,204963,100435,300164,200324
100261,300839,300128,204735,203512,302739,203271,204333,200389,300591,200436
100262,100328,100661,205506,100188,100437,105538,203900,100374,100524,104415
100263,200088,204907,200265,104438,200099,201864,204982,202523,100928,103125
100264,100156,202401,104479,200016,200448,203881,100370,401615,105478,204651
100265,300605,100439,300456,101849,100184,101117,100435,106694,101779,101453
100266,101777,203847,200228,100366,101171,203010,104215,105291,100504,103489
100267,100647,100546,101511,101485,202276,201497,202969,203173,104331,201498
100268,203026,200163,204080,101185,200335,205371,204459,402130,102095,202565
100269,500240,202907,304401,305623,104832,101319,202496,305297,201155,301286
100270,205170,204718,202943,302846,201315,300025,101167,205591,204287,205203
100271,400444,102405,400792,302332,101777,500150,303266,202615,402618,305765
100272,203555,302470,106026,301889,400848,203142,400860,100023,304408,100286
100273,100280,104591,106257,100113,100216,106235,100197,100857,105097,300101
100274,301685,300008,304932,100814,201910,100373,205170,203847,201288,205631
100275,100156,203889,200372,200216,202907,204907,203771,200309,202276,202523
100276,204812,201664,202254,201910,201549,200586,204907,103042,200608,103125
100277,200556,204654,200706,204982,202536,204750,200216,202599,200889,100426
100278,203711,203512,100016,200462,105711,202749,100012,300555,201298,200518
100279,200587,201421,100773,200361,203304,201042,100077,402409,102342,100380
100280,201919,100197,100273,100247,100256,300101,105097,300019,100316,100113
100281,100534,400640,301913,100193,100011,104933,400267,200111,402909,302725
100282,100504,204095,204813,203365,103730,200530,204250,302387,200389,204567
100283,106150,200637,105963,304932,202745,105642,200032,100016,203444,401337
100284,101231,200990,200059,101453,200708,200349,301862,205007,105121,200065
100285,100551,100641,204003,100552,200133,105372,105511,100071,105463,205370
100286,200748,102321,105069,105226,105327,106339,100391,300572,100338,304729
100287,200133,304793,205476,201664,100545,203444,200425,106242,205002,201760
100288,200034,303729,103669,100200,201976,203874,101157,100079,300193,303999
100289,201550,203433,106295,305112,200386,100016,101704,306206,200408,100085
100290,100350,201222,100226,100151,104533,300356,205729,105387,304422,100311
100291,100125,102478,102244,200155,200561,200431,100773,201421,100833,104872
100292,100815,204651,100633,101473,100830,100873,105808,301308,202536,106668
100293,100316,300101,100247,100280,104513,100113,300019,100256,100216,105097
100294,203200,104444,201202,100366,204632,104520,402088,102391,305527,201436
100295,204955,301185,301535,203925,202665,301991,204142,302790,202612,201123
100296,304261,201108,102108,200926,104454,400578,401505,100821,400129,402066
100297,201543,102786,200330,201534,200068,100382,100331,104331,202687,200301
100298,200392,203852,301743,202695,200324,201391,201075,200889,301496,205459
100299,202744,100023,201538,106081,105575,200765,203340,201315,200325,201923
100300,203878,103475,304479,200324,105715,203091,100123,205156,205261,304585
100301,101777,301800,304592,205630,205207,100504,100096,200874,402409,100016
100302,402176,100746,100728,400368,400381,202080,201079,400564,302420,304447
100303,100815,100340,100292,100830,300219,100633,300102,200440,200164,100890
100304,202894,205453,103681,205007,200372,104438,200012,200889,100895,100370
100305,202601,304001,106462,103861,204395,302520,300526,102654,204186,301148
100306,201036,103821,204287,302470,102108,205631,304486,201930,201237,203772
100307,200768,200553,200695,204170,202448,304519,300125,201200,203838,100709
100308,102153,106533,106175,201486,102108,104689,203541,305924,100625,105372
100309,100023,200503,100399,200346,300008,101127,100039,106682,100366,200214
100310,300381,201414,101193,102381,106328,203512,200647,203042,204619,100004
100311,100226,100350,100396,100290,100151,100578,100356,100318,100359,200234
100312,101944,204629,106039,305730,105509,104574,100022,102551,300000,106016
100313,200665,100905,204019,302798,105304,202570,100504,201074,200383,200541
100314,401878,100004,303851,202626,203010,100146,104600,200216,103692,302743
100315,102457,202630,200261,101148,202430,106030,200556,100910,301743,103071
100316,300101,100185,100280,300019,100293,100197,100216,100113,100256,100273
100317,300153,203010,401140,100504,300572,100288,201918,100572,100778,205078
100318,100151,100350,100226,101273,100359,100396,201222,100578,100356,101699
100319,300051,100714,100514,100888,100840,100554,100749,106501,100747,304378
100320,200099,106062,200125,200372,202609,200033,203282,201549,204651,100768
100321,201535,106354,100009,200408,203512,100833,101282,201577,106165,100179
100322,106582,201424,200968,300007,101805,104628,100545,201075,100085,104516
100323,105291,105304,301946,102334,100533,205475,102029,100390,200389,201274
100324,200707,200135,201927,302957,200189,300206,302195,306697,102935,102108
100325,106537,202145,402020,100286,202696,302637,100079,103694,300434,100503
100326,202309,401431,301271,202355,102935,100095,305709,200346,200907,303342
100327,201910,303999,200049,301576,100943,101193,200023,100023,202536,301942
100328,100262,100188,100661,100374,100524,205506,201317,203900,104538,104684
100329,203304,201297,200155,100011,201358,102967,202839,201414,105466,200023
100330,303345,203878,101794,100488,204710,200458,104440,101723,106031,106360
100331,100297,104331,102786,201543,200524,302740,201835,202583,103428,200164
100332,102383,301887,204447,106462,204105,205729,103842,301144,305593,400860
100333,100056,100504,103264,205147,102601,203771,200034,205398,100059,100999
100334,304141,203455,306335,200513,302637,200092,106150,201716,301244,203223
100335,100080,201127,202350,100830,103489,205518,201910,205207,203850,100504
100336,100340,100830,200440,100815,300320,100292,100873,200844,100633,300219
100337,402745,103253,100450,200133,301847,306041,301470,202536,100230,301282
100338,100480,100467,302866,300008,100286,301148,101401,200392,100730,203551
100339,100055,100122,100119,200272,101239,100130,101027,401210,301773,100156
100340,101478,402102,100336,100872,400254,304013,300320,400823,105543,500167
100341,104880,106459,402065,202726,303490,205717,300609,303487,200527,203010
100342,304710,303135,100511,204932,100478,400098,100302,101174,303897,301812
100343,300512,200032,200637,200436,302581,100432,200907,201427,200586,203772
100344,200005,203497,101174,302970,202570,100778,202565,400010,200408,200357
100345,100473,100496,100194,100580,100400,100421,100924,200822,200608,200620
100346,104588,200513,301183,101414,402433,302086,402193,102953,200984,203459
100347,201802,304592,106081,200361,202744,500678,100011,300273,400023,100096
100348,101515,204565,100504,100088,200739,100016,202145,204672,100773,302617
100349,203940,205382,205411,200083,100156,201549,100450,306474,202530,100564
100350,100356,100396,100226,201222,100151,302111,100578,100318,201864,101954
100351,102097,200530,300273,202355,304775,305980,102935,300067,102705,203745
100352,100595,202904,102108,202570,200327,100758,202745,205007,305297,200015
100353,500696,400585,101177,202589,304522,100778,201910,402748,100171,300417
100354,101118,106538,200554,103042,304666,403204,100370,200832,202612,202941
100355,203457,202301,301084,200195,204254,101485,204695,100222,301743,205351
100356,100350,100151,101273,100226,100396,100359,100578,100318,301773,101428
100357,304522,100314,201140,402449,200882,100366,402693,101426,200016,101633
100358,200177,302620,105740,205562,401526,300813,200780,200267,305709,104261
100359,100226,100578,100350,100318,100396,100151,100356,101273,201222,100845
100360,200324,201075,305709,402409,100023,202570,204814,100380,100504,306025
