,Book Title,ISBN,Book Image,Amazon,Google Play,Barnes and Noble,Indie Bound
252,"Will Grayson, Will Grayson (Will Grayson, Will Grayson, #1)",9780525421580,https://dj6cnfthgyqas.cloudfront.net/0525421580-original.jpg,$12.59,NaN,$13.05,$19.99
253,"The Darkest Minds (The Darkest Minds, #1)",9781423157373,https://dj6cnfthgyqas.cloudfront.net/1423157370-original.jpg,$10.19,NaN,$11.33,$17.99
254,"Abraham Lincoln: Vampire Hunter (Abraham Lincoln: Vampire Hunter, #1)",9780446563086,https://dj6cnfthgyqas.cloudfront.net/0446563080-original.jpg,$5.98,NaN,$20.55,$21.99
255,"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)",9781423160915,https://dj6cnfthgyqas.cloudfront.net/1484760387-original.jpg,$6.86,$8.99,NaN,NaN
256,House Rules,9780743296434,https://dj6cnfthgyqas.cloudfront.net/0743296435-original.jpg,$6.00,$11.99,$28.00,$28.00
257,A Monster Calls,9781406311525,https://dj6cnfthgyqas.cloudfront.net/1406311529-original.jpg,NaN,$15.04$9.03,$17.50,NaN
258,"The Scorch Trials (The Maze Runner, #2)",9780385738750,https://dj6cnfthgyqas.cloudfront.net/0385738757-original.jpg,NaN,$8.99,$15.33,$18.99
259,Uprooted,9780804179034,https://dj6cnfthgyqas.cloudfront.net/B00KUQIU7O-original.jpg,NaN,$13.99,NaN,NaN
260,The Bone Clocks,9781400065677,https://dj6cnfthgyqas.cloudfront.net/1400065674-original.jpg,$10.89,$14.99,$28.20,$30.00
261,The Invisible Game: The Mindset of a Winning Team,9781517457013,https://dj6cnfthgyqas.cloudfront.net/1517457017-original.jpg,$13.80,NaN,$14.26,$14.99
262,"Hollow City (Miss Peregrineâs Peculiar Children, #2)",9781594746123,https://dj6cnfthgyqas.cloudfront.net/1594746125-original.jpg,$11.53,$11.99$9.89,$13.04,$18.99
263,"Fifty Shades Freed (Fifty Shades, #3)",9780345803504,https://dj6cnfthgyqas.cloudfront.net/0345803507-original.jpg,$9.29,NaN,$10.17,$15.95
264,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,9780670025817,https://dj6cnfthgyqas.cloudfront.net/067002581X-original.jpg,$13.00,$12.99,$18.23,$28.95
265,Go Set a Watchman,9780062409850,https://dj6cnfthgyqas.cloudfront.net/0062409859-original.jpg,NaN,NaN,$21.58,$27.99
266,"Beautiful Disaster (Beautiful, #1)",-1,https://dj6cnfthgyqas.cloudfront.net/B074W2BM34-original.jpg,NaN,NaN,NaN,NaN
267,Just Kids,9780066211312,https://dj6cnfthgyqas.cloudfront.net/006621131X-original.jpg,$21.23,NaN,$22.30,$27.99
268,"The Weed That Strings the Hangman's Bag (Flavia de Luce, #2)",9780385342315,https://dj6cnfthgyqas.cloudfront.net/0385342314-original.jpg,NaN,$9.99,$22.61,$24.00
269,"Burned (House of Night, #7)",9781905654819,https://dj6cnfthgyqas.cloudfront.net/1905654812-original.jpg,$0.91,$10.99,NaN,NaN
270,The Girl With All the Gifts (The Girl With All the Gifts #1),9780356500157,https://dj6cnfthgyqas.cloudfront.net/0356500152-original.jpg,$25.00,$12.99,NaN,NaN
271,"The Serpent's Shadow (Kane Chronicles, #3)",9781423140573,https://dj6cnfthgyqas.cloudfront.net/1423140575-original.jpg,$4.35,NaN,$12.59,$19.99
272,"Golden Son (Red Rising, #2)",9780345539823,https://dj6cnfthgyqas.cloudfront.net/B00I765ZEU-original.jpg,NaN,$10.99,NaN,NaN
273,The Storied Life of A.J. Fikry,9781616203214,https://dj6cnfthgyqas.cloudfront.net/B00GU2RLMC-original.jpg,NaN,$12.99,NaN,NaN
274,Horns,9780061147951,https://dj6cnfthgyqas.cloudfront.net/0061147958-original.jpg,$10.99,$11.99,$24.49,$25.99
275,Tenth of December,9780812993806,https://dj6cnfthgyqas.cloudfront.net/0812993802-original.jpg,$15.25,$11.99,$26.00,$26.00
276,Orphan Train,9780061950728,https://dj6cnfthgyqas.cloudfront.net/0061950726-original.jpg,$9.36,$2.99,$10.07,$15.99
277,"Where She Went (If I Stay, #2)",9780525422945,https://dj6cnfthgyqas.cloudfront.net/B004H4XDBI-original.jpg,NaN,$11.99,NaN,NaN
278,The Sky Is Everywhere,9780803734951,https://dj6cnfthgyqas.cloudfront.net/0803734956-original.jpg,$12.59,$11.99,$13.56,$17.99
279,"Wool Omnibus (Silo, #1)",-1,https://dj6cnfthgyqas.cloudfront.net/B074W2BM34-original.jpg,NaN,NaN,NaN,NaN
280,"The Death Cure (The Maze Runner, #3)",9780385738774,https://dj6cnfthgyqas.cloudfront.net/0385738773-original.jpg,$11.96,NaN,$12.40,$18.99
281,The Sisters Brothers,9780062041265,https://dj6cnfthgyqas.cloudfront.net/0062041266-original.jpg,$14.60,$16.95$7.93,$24.99,$24.99
282,We Are All Completely Beside Ourselves,9780399162091,https://dj6cnfthgyqas.cloudfront.net/B00B4FU6KE-original.jpg,NaN,$13.99,NaN,NaN
283,The Dovekeepers,9781451617474,https://dj6cnfthgyqas.cloudfront.net/145161747X-original.jpg,$14.99,$12.99,$22.10,$27.99
284,"Crossed (Matched, #2)",9780142421710,https://dj6cnfthgyqas.cloudfront.net/0142421715-original.jpg,$9.97,$10.99,$10.08,$9.99
285,The Hare With Amber Eyes: A Family's Century of Art and Loss,9780374105976,https://dj6cnfthgyqas.cloudfront.net/0374105979-original.jpg,$24.71,NaN,$17.49,$26.00
286,The Marriage Plot,9780374203054,https://dj6cnfthgyqas.cloudfront.net/0374203059-original.jpg,$12.04,NaN,$28.00,$28.00
287,The Round House,9780062065247,https://dj6cnfthgyqas.cloudfront.net/0062065246-original.jpg,$16.66,NaN,$27.99,$27.99
288,"I Am Number Four (Lorien Legacies, #1)",9780061969553,https://dj6cnfthgyqas.cloudfront.net/0061969559-original.jpg,$12.59,NaN,$12.63,$17.99
289,Tell the Wolves I'm Home,9780679644194,https://dj6cnfthgyqas.cloudfront.net/B005QPI9ZW-original.jpg,NaN,$13.99,NaN,NaN
290,The Distant Hours,9781439152782,https://dj6cnfthgyqas.cloudfront.net/1439152780-original.jpg,$8.17,NaN,$24.05,$26.00
291,"Requiem (Delirium, #3)",9780062014535,https://dj6cnfthgyqas.cloudfront.net/0062014536-original.jpg,$13.11,NaN,$13.33,$18.99
292,"The Indigo Spell (Bloodlines, #3)",9781595143198,https://dj6cnfthgyqas.cloudfront.net/159514319X-original.jpg,$10.92,NaN,$12.63,$18.99
293,Night Film,9780812979787,https://dj6cnfthgyqas.cloudfront.net/0812979788-original.jpg,NaN,$14.99,$12.25,$18.00
294,"MaddAddam (MaddAddam, #3)",9780385528788,https://dj6cnfthgyqas.cloudfront.net/0385537832-original.jpg,NaN,$12.99$6.08,$11.99,NaN
295,Beautiful Ruins,9780061928123,https://dj6cnfthgyqas.cloudfront.net/0061928127-original.jpg,$15.09,NaN,$26.99,$26.99
296,"Bitterblue (Graceling Realm, #3)",9780803734739,https://dj6cnfthgyqas.cloudfront.net/B006CUA17O-original.jpg,NaN,NaN,NaN,NaN
297,Carry On,9781250049551,https://dj6cnfthgyqas.cloudfront.net/1250049555-original.jpg,NaN,NaN,$15.15,$19.99
298,"Starcrossed (Starcrossed, #1)",9780062011992,https://dj6cnfthgyqas.cloudfront.net/0062011995-original.jpg,$12.44,$11.99,$12.91,$17.99
299,"Angelfall (Penryn & the End of Days, #1)",-1,https://dj6cnfthgyqas.cloudfront.net/B074W2BM34-original.jpg,NaN,NaN,NaN,NaN
300,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,9780849946158,https://dj6cnfthgyqas.cloudfront.net/0849946158-original.jpg,$9.19,NaN,$10.70,$16.99
301,Left Neglected,9781439164631,https://dj6cnfthgyqas.cloudfront.net/1439164630-original.jpg,$15.54,NaN,$23.12,$25.00
302,"Steelheart (The Reckoners, #1)",9780385743563,https://dj6cnfthgyqas.cloudfront.net/B00ARHAAZ6-original.jpg,NaN,$17.99,NaN,NaN
303,"The Black Prism (Lightbringer, #1)",9780316075558,https://dj6cnfthgyqas.cloudfront.net/B003JTHY76-original.jpg,NaN,$8.99,NaN,NaN
304,At Home: A Short History of Private Life,9780767919388,https://dj6cnfthgyqas.cloudfront.net/B003F3FJGY-original.jpg,NaN,$14.99,NaN,NaN
