"Book Title","ISBN","Rating","Author","Language","Pages","Publication","Publish Date","Genres","Book URL"
"The Historian","9780751537284","3.77","Elizabeth Kostova","English","704","Time Warner Books","2005","['Fiction', 'Historical', 'Historical Fiction', 'Fantasy', 'Mystery', 'Historical']","https://www.goodreads.com/book/show/10692.The_Historian"
"A Storm of Swords (A Song of Ice and Fire, #3)","9780553573428","4.54","George R.R. Martin","English","1177","Bantam","March 4th 2003","['Fiction', 'Fantasy', 'Epic Fantasy', 'Science Fiction Fantasy']","https://www.goodreads.com/book/show/62291.A_Storm_of_Swords"
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","9780307269997","4.21","Stieg Larsson","English","563","Knopf","May 23rd 2010","['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense']","https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest"
"Uglies (Uglies, #1)","9780689865381","3.86","Scott Westerfeld","English","425","Simon Pulse","February 8th 2005","['Young Adult', 'Science Fiction', 'Dystopia', 'Science Fiction', 'Fiction']","https://www.goodreads.com/book/show/24770.Uglies"
"Cloud Atlas","9780375507250","4.01","David Mitchell","English","509","Random House","August 17th 2004","['Science Fiction', 'Fiction', 'Historical', 'Historical Fiction', 'Science Fiction', 'Dystopia']","https://www.goodreads.com/book/show/49628.Cloud_Atlas"
"Vampire Academy (Vampire Academy #1)","-1","4.14","Richelle Mead","English","332","Razorbill","November 2013","['Young Adult', 'Fantasy', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal', 'Vampires']","https://www.goodreads.com/book/show/18660669-vampire-academy"
"Coraline","9780061139376","4.04","Neil Gaiman","English","162","William Morrow Paperbacks","August 29th 2006","['Fantasy', 'Young Adult', 'Fiction', 'Horror', 'Childrens']","https://www.goodreads.com/book/show/17061.Coraline"
"Jonathan Strange & Mr Norrell","9780765356154","3.81","Susanna Clarke","English","1006","Tor Books","August 1st 2006","['Historical', 'Historical Fiction', 'Historical', 'Abandoned', 'Science Fiction', 'Alternate History', 'Audiobook']","https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell"
"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","9780061234002","3.94","Steven D. Levitt","English","320","William Morrow","October 17th 2006","['Economics', 'Nonfiction', 'Business', 'Science', 'Psychology', 'Sociology', 'Politics', 'Economics', 'Finance', 'Audiobook', 'Social Science']","https://www.goodreads.com/book/show/1202.Freakonomics"
"The Graveyard Book","9780060530921","4.12","Neil Gaiman","English","307","HarperCollins","September 30th 2008","['Fantasy', 'Young Adult', 'Fiction', 'Horror', 'Fantasy', 'Paranormal', 'Childrens']","https://www.goodreads.com/book/show/2213661.The_Graveyard_Book"
"Everything Is Illuminated","9780060529703","3.9","Jonathan Safran Foer","English","276","Harper Perennial","April 1st 2003","['Fiction', 'Historical', 'Historical Fiction', 'Contemporary', 'Novels']","https://www.goodreads.com/book/show/256566.Everything_Is_Illuminated"
"Nineteen Minutes","9780743496728","4.11","Jodi Picoult","English","440","Atria Books","March 5th 2007","['Fiction', 'Contemporary', 'Womens Fiction', 'Chick Lit', 'Adult', 'Adult Fiction', 'Realistic Fiction']","https://www.goodreads.com/book/show/14866.Nineteen_Minutes"
"Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time","9780143038252","3.64","Greg Mortenson","English","349","Penguin","January 30th 2007","['Nonfiction', 'Autobiography', 'Memoir', 'Biography', 'Travel', 'Education', 'Book Club', 'Inspirational', 'Cultural', 'Pakistan', 'Biography Memoir', 'Abandoned']","https://www.goodreads.com/book/show/49436.Three_Cups_of_Tea"
"The Last Lecture","9781401323257","4.25","Randy Pausch","English","206","Hachette Books","April 8th 2008","['Nonfiction', 'Biography', 'Inspirational', 'Philosophy']","https://www.goodreads.com/book/show/2318271.The_Last_Lecture"
"Kafka on the Shore","9781400079278","4.13","Haruki Murakami","English","480","Vintage International","January 3rd 2006","['Fiction', 'Magical Realism', 'Cultural', 'Japan', 'Fantasy', 'Asian Literature', 'Japanese Literature']","https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore"
"The Memory Keeper's Daughter","9780143037149","3.65","Kim Edwards","English","401","Penguin Books","May 30th 2006","['Fiction', 'Contemporary', 'Adult Fiction', 'Adult']","https://www.goodreads.com/book/show/10441.The_Memory_Keeper_s_Daughter"
"The Namesake","9780618485222","3.97","Jhumpa Lahiri","English","291","Mariner Books","September 1st 2004","['Cultural', 'India', 'Fiction', 'Contemporary', 'Literary Fiction', 'Novels', 'Literature']","https://www.goodreads.com/book/show/33917.The_Namesake"
"The Brief Wondrous Life of Oscar Wao","9781594489587","3.9","Junot DÃ­az","English","335","Riverhead Books","September 6th 2007","['Fiction', 'Contemporary', 'Magical Realism', 'Novels']","https://www.goodreads.com/book/show/297673.The_Brief_Wondrous_Life_of_Oscar_Wao"
"Persepolis: The Story of a Childhood (Persepolis, #1)","9780375714573","4.23","Marjane Satrapi","English","153","Pantheon","June 1st 2004","['Sequential Art', 'Graphic Novels', 'Nonfiction', 'Sequential Art', 'Comics', 'Autobiography', 'Memoir', 'Biography']","https://www.goodreads.com/book/show/9516.Persepolis"
"The Art of Racing in the Rain","9781554681723","4.2","Garth Stein","English","321","Harper Collins","May 13th 2008","['Fiction', 'Animals', 'Animals', 'Dogs', 'Contemporary', 'Adult Fiction', 'Adult', 'Book Club', 'Audiobook', 'Novels', 'Family']","https://www.goodreads.com/book/show/3153910-the-art-of-racing-in-the-rain"
"The Corrections","9781841156736","3.78","Jonathan Franzen","English","653","Fourth Estate Paperbacks","September 2nd 2002","['Fiction', 'Contemporary', 'Novels']","https://www.goodreads.com/book/show/3805.The_Corrections"
"Oryx and Crake (MaddAddam, #1)","9780385721677","4.0","Margaret Atwood","English","400","Anchor Books","March 30th 2004","['Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Apocalyptic', 'Post Apocalyptic', 'Fantasy']","https://www.goodreads.com/book/show/46756.Oryx_and_Crake"
"Running with Scissors","9780312422271","3.71","Augusten Burroughs","English","304","Picador USA","June 30th 2003","['Autobiography', 'Memoir', 'Nonfiction', 'Biography', 'Humor']","https://www.goodreads.com/book/show/242006.Running_with_Scissors"
"No Country for Old Men","9780375706677","4.13","Cormac McCarthy","English","309","Vintage","July 11th 2006","['Fiction', 'Thriller', 'Mystery', 'Crime', 'Westerns', 'Literature', 'Mystery']","https://www.goodreads.com/book/show/12497.No_Country_for_Old_Men"
"The Amber Spyglass (His Dark Materials, #3)","9780440238157","4.07","Philip Pullman","English","467","Laurel Leaf","September 9th 2003","['Fantasy', 'Young Adult', 'Fiction']","https://www.goodreads.com/book/show/18122.The_Amber_Spyglass"
"The Blind Assassin","9781860498800","3.95","Margaret Atwood","English","637","Virago Press Ltd","September 3rd 2001","['Fiction', 'Historical', 'Historical Fiction', 'Mystery', 'Cultural', 'Canada']","https://www.goodreads.com/book/show/78433.The_Blind_Assassin"
"World Without End (Kingsbridge, #2)","9780525950073","4.24","Ken Follett","English","1014","Dutton","October 4th 2007","['Historical', 'Historical Fiction', 'Fiction', 'Historical']","https://www.goodreads.com/book/show/5064.World_Without_End"
"A Heartbreaking Work of Staggering Genius","9780375725784","3.68","Dave Eggers","English","485","Vintage","February 13th 2001","['Fiction']","https://www.goodreads.com/book/show/4953.A_Heartbreaking_Work_of_Staggering_Genius"
"The Shack","9780964729230","3.74","William Paul Young","English","252","Windblown Media","July 1st 2007","['Fiction', 'Christian Fiction', 'Religion', 'Spirituality']","https://www.goodreads.com/book/show/1812457.The_Shack"
"The History of Love","9780393328622","3.91","Nicole Krauss","English","255","Norton","May 17th 2006","['Fiction', 'Historical', 'Historical Fiction', 'Romance', 'Novels']","https://www.goodreads.com/book/show/3867.The_History_of_Love"
"The Omnivore's Dilemma: A Natural History of Four Meals","9781594200823","4.18","Michael Pollan","English","451","The Penguin Press","2006","['Nonfiction', 'Food and Drink', 'Food', 'Science', 'Health', 'History', 'Health', 'Nutrition']","https://www.goodreads.com/book/show/3109.The_Omnivore_s_Dilemma"
"Sarah's Key","9780312370831","4.14","Tatiana de Rosnay","English","294","St. Martin's Press","June 12th 2007","['Historical', 'Historical Fiction', 'Fiction', 'World War II', 'Holocaust', 'Historical', 'War', 'World War II']","https://www.goodreads.com/book/show/556602.Sarah_s_Key"
"Cutting for Stone","9780375414497","4.28","Abraham Verghese","English","541","Knopf","February 3rd 2009","['Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'Africa', 'Book Club', 'Eastern Africa', 'Ethiopia', 'Health', 'Medicine', 'Medical', 'Novels', 'Abandoned', 'Adult Fiction']","https://www.goodreads.com/book/show/3591262-cutting-for-stone"
"Seabiscuit: An American Legend","9780345465085","4.2","Laura Hillenbrand","English","457","Ballantine Books","July 1st 2003","['Nonfiction', 'History', 'Biography', 'Sports and Games', 'Sports', 'Animals']","https://www.goodreads.com/book/show/110737.Seabiscuit"
"The Pact","9780061150142","4.0","Jodi Picoult","English","512","Avon","August 29th 2006","['Fiction', 'Romance', 'Contemporary', 'Womens Fiction', 'Chick Lit']","https://www.goodreads.com/book/show/10916.The_Pact"
"Shantaram","9781920769208","4.27","Gregory David Roberts","English","936","Scribe","2004","['Fiction', 'Cultural', 'India', 'Travel', 'Adventure']","https://www.goodreads.com/book/show/33600.Shantaram"
"Empire Falls","9780375726408","3.91","Richard Russo","English","483","Vintage","April 12th 2002","['Fiction', 'Contemporary']","https://www.goodreads.com/book/show/187020.Empire_Falls"
"House of Leaves","9780385603102","4.13","Mark Z. Danielewski","English","705","Random House","March 7th 2000","['Horror', 'Fiction', 'Fantasy', 'Mystery']","https://www.goodreads.com/book/show/24800.House_of_Leaves"
"The Story of Edgar Sawtelle","9780061374227","3.6","David Wroblewski","English","566","Ecco","June 1st 2008","['Fiction', 'Animals', 'Dogs', 'Animals', 'Adult Fiction']","https://www.goodreads.com/book/show/2731276-the-story-of-edgar-sawtelle"
"A Great and Terrible Beauty (Gemma Doyle, #1)","9780689875342","3.79","Libba Bray","English","403","Simon and Schuster","December 9th 2003","['Fantasy', 'Young Adult', 'Historical', 'Historical', 'Historical Fiction', 'Fantasy', 'Paranormal', 'Romance']","https://www.goodreads.com/book/show/3682.A_Great_and_Terrible_Beauty"
"White Teeth","9780375703867","3.75","Zadie Smith","English","448","Vintage","June 12th 2001","['Fiction', 'Contemporary', 'Novels']","https://www.goodreads.com/book/show/3711.White_Teeth"
