Book Title,ISBN,Book Image,Google Play,Google Play URL,Barnes and Noble,Barnes and Noble URL,Indie Bound,Indie Bound URL,,,,,,,,
The Amazing Adventures of Kavalier & Clay,9780312282998,https://dj6cnfthgyqas.cloudfront.net/0312282990-original.jpg,,https://play.google.com/store/books/series?id=lZ6fGQAAABALhM,$11.86,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780312282998,$17.00,http://www.indiebound.org/book/9780312282998?aff=rifflebooks,,,,,,,,
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",9780743227445,https://dj6cnfthgyqas.cloudfront.net/0743227441-original.jpg,$13.99,https://play.google.com/store/books/details/Philippa_Gregory_The_Other_Boleyn_Girl?id=hPmaiE1da_QC,$11.33,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780743227445,$16.99,http://www.indiebound.org/book/9780743227445?aff=rifflebooks,,,,,,,,
Me Talk Pretty One Day,9780349113913,https://dj6cnfthgyqas.cloudfront.net/0349113912-original.jpg,$12.99,https://play.google.com/store/books/details/David_Sedaris_Me_Talk_Pretty_One_Day?id=WVKiq9stTNgC,$17.10,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780349113913,$14.22,http://www.indiebound.org/book/9780349113913?aff=rifflebooks,,,,,,,,
"Eragon (The Inheritance Cycle, #1)",9780375826696,https://dj6cnfthgyqas.cloudfront.net/0375826696-original.jpg,,,$9.62,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780375826696,$11.99,http://www.indiebound.org/book/9780375826696?aff=rifflebooks,,,,,,,,
Snow Flower and the Secret Fan,9780812968064,https://dj6cnfthgyqas.cloudfront.net/0812968069-original.jpg,$12.99,https://play.google.com/store/books/details/Lisa_See_Snow_Flower_and_the_Secret_Fan?id=SjNjTyG47vEC,$13.22,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780812968064,$17.00,http://www.indiebound.org/book/9780812968064?aff=rifflebooks,,,,,,,,
The Historian,9780751537284,https://dj6cnfthgyqas.cloudfront.net/0751537284-original.jpg,$12.99,https://play.google.com/store/books/details/Elizabeth_Kostova_The_Historian?id=qq_H8Td10AAC,,,,,,,,,,,,
"A Storm of Swords (A Song of Ice and Fire, #3)",9780553573428,https://dj6cnfthgyqas.cloudfront.net/055357342X-original.jpg,$32.31,https://play.google.com/store/audiobooks/details/George_R_R_Martin_The_World_of_Ice_Fire?id=AQAAAAD4jTeN3M,$9.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780553573428,$9.99,http://www.indiebound.org/book/9780553573428?aff=rifflebooks,,,,,,,,
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",9780307269997,https://dj6cnfthgyqas.cloudfront.net/030726999X-original.jpg,,,$27.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780307269997,$27.95,http://www.indiebound.org/book/9780307269997?aff=rifflebooks,,,,,,,,
"Uglies (Uglies, #1)",9780689865381,https://dj6cnfthgyqas.cloudfront.net/0689865384-original.jpg,,,$7.88,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780689865381,$9.99,http://www.indiebound.org/book/9780689865381?aff=rifflebooks,,,,,,,,
Cloud Atlas,9780375507250,https://dj6cnfthgyqas.cloudfront.net/0375507256-original.jpg,$11.99,https://play.google.com/store/books/details/David_Mitchell_Cloud_Atlas?id=EoxXLiC0uAIC,$11.49,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780375507250,$17.00,http://www.indiebound.org/book/9780375507250?aff=rifflebooks,,,,,,,,
Vampire Academy (Vampire Academy #1),-1,,$4.99,https://play.google.com/store/movies/details/Vampire_Academy?id=e5XypS9Grb4,,,,,,,,,,,,
Coraline,9780061139376,https://dj6cnfthgyqas.cloudfront.net/0061139378-original.jpg,$7.99,https://play.google.com/store/books/details/Neil_Gaiman_Coraline_10th_Anniversary_Edition?id=it5B-Y2EQhoC,$9.11,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780061139376,$12.99,http://www.indiebound.org/book/9780061139376?aff=rifflebooks,,,,,,,,
Jonathan Strange & Mr Norrell,9780765356154,https://dj6cnfthgyqas.cloudfront.net/0765356155-original.jpg,Free,https://play.google.com/store/books/details/George_Gordon_Byron_Baron_Byron_Manfred?id=825bAAAAQAAJ,$9.05,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780765356154,$9.99,http://www.indiebound.org/book/9780765356154?aff=rifflebooks,,,,,,,,
"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",9780061234002,https://dj6cnfthgyqas.cloudfront.net/0061234001-original.jpg,,,$27.11,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780061234002,$29.99,http://www.indiebound.org/book/9780061234002?aff=rifflebooks,,,,,,,,
The Graveyard Book,9780060530921,https://dj6cnfthgyqas.cloudfront.net/0060530928-original.jpg,,https://play.google.com/store/books/series?id=tn5SGQAAABDlZM,$12.13,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780060530921,$17.99,http://www.indiebound.org/book/9780060530921?aff=rifflebooks,,,,,,,,
Everything Is Illuminated,9780060529703,https://dj6cnfthgyqas.cloudfront.net/0060529709-original.jpg,$12.91,https://play.google.com/store/books/details/Jonathan_Safran_Foer_Everything_Is_Illuminated?id=uU3bxcl70CIC,$15.36,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780060529703,$15.99,http://www.indiebound.org/book/9780060529703?aff=rifflebooks,,,,,,,,
Nineteen Minutes,9780743496728,https://dj6cnfthgyqas.cloudfront.net/0739480715-original.jpg,$12.99,https://play.google.com/store/books/details/Jodi_Picoult_Nineteen_Minutes?id=MSMxgQp2bMUC,$25.46,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780743496728,$26.95,http://www.indiebound.org/book/9780743496728?aff=rifflebooks,,,,,,,,
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,9780143038252,https://dj6cnfthgyqas.cloudfront.net/0143038257-original.jpg,$9.99,https://play.google.com/store/books/details/Greg_Mortenson_Three_Cups_of_Tea_Young_Readers_Edi?id=1Vu0UWVr6esC,$12.04,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780143038252,$18.00,http://www.indiebound.org/book/9780143038252?aff=rifflebooks,,,,,,,,
The Last Lecture,9781401323257,https://dj6cnfthgyqas.cloudfront.net/1401323251-original.jpg,$13.99,https://play.google.com/store/books/details/Randy_Pausch_The_Last_Lecture?id=mVqZAAAAQBAJ,$13.85,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781401323257,$22.00,http://www.indiebound.org/book/9781401323257?aff=rifflebooks,,,,,,,,
