Book Title,ISBN,Book Image,Google Play,Google Play URL,Barnes and Noble,Barnes and Noble URL,Indie Bound,Indie Bound URL
Mother,9781406833263,https://dj6cnfthgyqas.cloudfront.net/1406833266-original.jpg,$13.99,https://play.google.com/store/books/details/Amy_Chua_Battle_Hymn_of_the_Tiger_Mother?id=1xlR5HF9ZhgC,$14.90,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781406833263,$14.90,http://www.indiebound.org/book/9781406833263?aff=rifflebooks
Dora: An Analysis of a Case of Hysteria,9780684829463,https://dj6cnfthgyqas.cloudfront.net/0684829460-original.jpg,$7.99,https://play.google.com/store/books/details/Sigmund_Freud_A_Case_of_Hysteria?id=yw3tglAWxNAC,$13.39,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780684829463,$16.00,http://www.indiebound.org/book/9780684829463?aff=rifflebooks
The Book of Tea,9780804800693,https://dj6cnfthgyqas.cloudfront.net/0804800693-original.jpg,$1.09,https://play.google.com/store/books/details/Kakuzo_Okakura_The_Book_of_Tea?id=Rl4flL7Bp8MC,$16.18,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780804800693,$18.95,http://www.indiebound.org/book/9780804800693?aff=rifflebooks
"Dorothy and the Wizard in Oz (Oz, #4)",9781421976952,https://dj6cnfthgyqas.cloudfront.net/1421976951-original.jpg,,,,,,
"The Road to Oz (Oz, #5)",9780688099978,https://dj6cnfthgyqas.cloudfront.net/0688099971-original.jpg,,,$19.65,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780688099978,$27.99,http://www.indiebound.org/book/9780688099978?aff=rifflebooks
The Octopus: A Story of California,9780140187700,https://dj6cnfthgyqas.cloudfront.net/0140187707-original.jpg,$3.03,https://play.google.com/store/books/details/Frank_Norris_The_Octopus?id=sVqQDQAAQBAJ,$16.08,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780140187700,$18.00,http://www.indiebound.org/book/9780140187700?aff=rifflebooks
Tristan,9783150064313,,,,,,,
Tono-Bungay,9780141441115,https://dj6cnfthgyqas.cloudfront.net/0141441119-original.jpg,$13.99,https://play.google.com/store/books/details/H_G_Wells_Tono_Bungay?id=_CmUARYR9jEC,$14.29,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780141441115,$17.00,http://www.indiebound.org/book/9780141441115?aff=rifflebooks
The Food of the Gods,9781570020155,https://dj6cnfthgyqas.cloudfront.net/1570020159-original.jpg,$7.33,https://play.google.com/store/books/details/H_G_Wells_The_Food_of_the_Gods?id=iFvCAgAAQBAJ,,,,
The Varieties of Religious Experience,9781402199035,https://dj6cnfthgyqas.cloudfront.net/1402199031-original.jpg,$3.03,https://play.google.com/store/books/details/William_James_The_Varieties_of_Religious_Experienc?id=l8SZBgAAQBAJ,$11.69,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781402199035,,
The Circular Staircase,9780809593477,https://dj6cnfthgyqas.cloudfront.net/0809593475-original.jpg,$3.03,https://play.google.com/store/books/details/Mary_Roberts_Rinehart_The_Circular_Staircase?id=pyeDAwAAQBAJ,,,,
Strait is the Gate,9781595690623,https://dj6cnfthgyqas.cloudfront.net/159569062X-original.jpg,$6.12,https://play.google.com/store/books/details/Andr%C3%A9_Gide_Strait_is_the_Gate?id=F-0zqnFNlyQC,$12.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781595690623,$12.95,http://www.indiebound.org/book/9781595690623?aff=rifflebooks
Raffles: Further Adventures of the Amateur Cracksman,9781406568646,https://dj6cnfthgyqas.cloudfront.net/1406568643-original.jpg,$4.04,https://play.google.com/store/books/details/E_W_Hornung_The_Black_Mask?id=E30PefVH7EYC,$13.18,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781406568646,$15.99,http://www.indiebound.org/book/9781406568646?aff=rifflebooks
Royal Highness,9780520076730,https://dj6cnfthgyqas.cloudfront.net/0520076737-original.jpg,$3.82,https://play.google.com/store/books/details/Thomas_Mann_Royal_Highness?id=bNt-zKHKmNAC,$31.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780520076730,$31.95,http://www.indiebound.org/book/9780520076730?aff=rifflebooks
I Am a Cat,9780804832656,https://dj6cnfthgyqas.cloudfront.net/080483265X-original.jpg,$14.74,https://play.google.com/store/books/details/Natsume_Soseki_I_Am_A_Cat?id=V7jWAgAAQBAJ,$17.01,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780804832656,$19.95,http://www.indiebound.org/book/9780804832656?aff=rifflebooks
The Crimson Fairy Book,9780486217994,https://dj6cnfthgyqas.cloudfront.net/048621799X-original.jpg,$4.03,https://play.google.com/store/books/details/Andrew_Lang_The_Crimson_Fairy_Book?id=JSNjDgAAQBAJ,$16.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780486217994,$16.95,http://www.indiebound.org/book/9780486217994?aff=rifflebooks
The Petty Demon,9780882338088,https://dj6cnfthgyqas.cloudfront.net/0882338080-original.jpg,$9.99,https://play.google.com/store/books/details/Fyodor_Sologub_The_Little_Demon?id=GfnUzkhsblMC,,,,
The Brown Fairy Book,9780486214382,https://dj6cnfthgyqas.cloudfront.net/0486214389-original.jpg,$4.04,https://play.google.com/store/books/details/Andrew_Lang_The_Brown_Fairy_Book?id=M6qdnTFSB9gC,$14.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780486214382,$14.95,http://www.indiebound.org/book/9780486214382?aff=rifflebooks
Puck of Pook's Hill,9780486451473,https://dj6cnfthgyqas.cloudfront.net/048645147X-original.jpg,$6.75,https://play.google.com/store/books/details/R_Kipling_Puck_of_Pook_s_Hill_1905_1906?id=wYoJAwAAQBAJ,$16.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780486451473,$16.95,http://www.indiebound.org/book/9780486451473?aff=rifflebooks
Reform or Revolution,9780873483032,https://dj6cnfthgyqas.cloudfront.net/0873483030-original.jpg,$8.99,https://play.google.com/store/books/details/Rosa_Luxemburg_Reform_or_Revolution_and_Other_Writ?id=04u832PcSPsC,,,,
Five Lectures on Psycho-Analysis,9780393008470,https://dj6cnfthgyqas.cloudfront.net/0393008479-original.jpg,$3.82,https://play.google.com/store/books/details/Sigmund_Freud_Five_Lectures_on_Psycho_Analysis?id=mYF-CgAAQBAJ,,,$14.95,http://www.indiebound.org/book/9780393008470?aff=rifflebooks
Doctor Glas,9780385722674,https://dj6cnfthgyqas.cloudfront.net/0385722672-original.jpg,$12.99,https://play.google.com/store/books/details/Hjalmar_Soderberg_Doctor_Glas?id=U3pjN-ZyIFgC,$13.33,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780385722674,$15.00,http://www.indiebound.org/book/9780385722674?aff=rifflebooks
All Things Considered,9781406803020,https://dj6cnfthgyqas.cloudfront.net/1406803022-original.jpg,$1.29,https://play.google.com/store/books/details/G_K_Chesterton_All_Things_Considered?id=LGeZeOtgk1wC,$7.90,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781406803020,$7.90,http://www.indiebound.org/book/9781406803020?aff=rifflebooks
La Ronde,9780413495303,https://dj6cnfthgyqas.cloudfront.net/B00HR8OIBU-original.jpg,$9.99,https://play.google.com/store/books/details/Arthur_Schnitzler_La_Ronde?id=22yJAgAAQBAJ,$14.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780413495303,$14.95,http://www.indiebound.org/book/9780413495303?aff=rifflebooks
The Longest Journey,9780141441481,https://dj6cnfthgyqas.cloudfront.net/0141441488-original.jpg,$12.99,https://play.google.com/store/books/details/E_M_Forster_The_Longest_Journey?id=Tbf7zdZ4FTEC,$15.22,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780141441481,$18.00,http://www.indiebound.org/book/9780141441481?aff=rifflebooks
The Hill of Dreams,9781587155307,,$3.21,https://play.google.com/store/books/details/Arthur_Machen_The_Hill_of_Dreams?id=qVhIBAAAQBAJ,$18.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781587155307,$18.95,http://www.indiebound.org/book/9781587155307?aff=rifflebooks
Freckles (Limberlost #1),9780253203632,https://dj6cnfthgyqas.cloudfront.net/0253203635-original.jpg,$11.95,https://play.google.com/store/audiobooks/details/Gene_Stratton_Porter_Girl_of_the_Limberlost?id=AQAAAIB7kVgRMM,$16.59,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780253203632,$20.00,http://www.indiebound.org/book/9780253203632?aff=rifflebooks
Peter Pan,9780805072457,https://dj6cnfthgyqas.cloudfront.net/0805072454-original.jpg,Free,https://play.google.com/store/books/details/James_Matthew_Barrie_Peter_Pan_in_Kensington_Garde?id=EP8aAAAAMAAJ,$23.61,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780805072457,$25.00,http://www.indiebound.org/book/9780805072457?aff=rifflebooks
The Story of A Fierce Bad Rabbit,9780723247890,https://dj6cnfthgyqas.cloudfront.net/0723247897-original.jpg,$7.45,https://play.google.com/store/books/details/Beatrix_Potter_The_Story_of_A_Fierce_Bad_Rabbit?id=JxhoqLBb-KsC,$6.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780723247890,$6.99,http://www.indiebound.org/book/9780723247890?aff=rifflebooks
Orthodoxy,9781600965272,https://dj6cnfthgyqas.cloudfront.net/160096527X-original.jpg,$1.15,https://play.google.com/store/books/details/G_K_Chesterton_Orthodoxy?id=XR-xAAAAQBAJ,$11.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781600965272,$11.95,http://www.indiebound.org/book/9781600965272?aff=rifflebooks
The Paul Street Boys,"
                  9631345343",https://dj6cnfthgyqas.cloudfront.net/9631345343-original.jpg,$13.99,https://play.google.com/store/books/details/Nick_Harkaway_Tigerman?id=F30oAwAAQBAJ,,,,
The Tailor of Gloucester,9780723247722,https://dj6cnfthgyqas.cloudfront.net/0723247722-original.jpg,$1.09,https://play.google.com/store/books/details/Beatrix_Potter_The_Tailor_of_Gloucester?id=baesAwAAQBAJ,$6.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780723247722,$6.99,http://www.indiebound.org/book/9780723247722?aff=rifflebooks
Time and the Gods,9781587157196,https://dj6cnfthgyqas.cloudfront.net/1587157195-original.jpg,$12.99,https://play.google.com/store/books/details/Joyce_Meyer_My_Time_with_God?id=XmgRDgAAQBAJ,,,$15.00,http://www.indiebound.org/book/9781587157196?aff=rifflebooks
